Model,Validation MAE,Validation RMSE,Validation R2,Test MAE,Test RMSE,Test R2,CV Mean RMSE,CV Std RMSE
Leakage-Reduced Linear Regression,14.165538701028762,20.60676093551396,0.6698965633412577,15.604810444271363,21.033446495413536,0.5244792989161098,26.709743039704655,1.0999289881543837
Random Forest Regressor,9.363771088498499,15.686106761316863,0.808723809675668,13.128239606527552,20.69144152007796,0.5398175608380142,13.796634795715693,2.2568949112295367
