feature,importance_mean,importance_std
SE.PRM.NENR.FE,15.001632628162602,0.44177566404145086
poverty_rate,14.35493548338415,1.032130368659354
school_enrollment,4.671944513058088,0.8238898407491707
school_enrollment_gap,2.910635670867541,0.4447897050938166
unemployment_rate,1.355904615957438,0.3103806790845833
regime_score,1.0745511644575085,0.2062411448706935
log_oil_exports,0.4164121957816729,0.14271242669223713
gini_index,0.3842814832442308,0.07519508194680459
SE.PRM.NENR.MA,0.36284533276566044,0.05446607977175392
fuel_imports,0.31719694251388847,0.19697529635897537
pharma_imports,0.3150935565716811,0.06270984348651533
oil_exports,0.314631849161235,0.12507046516651088
log_pharma_imports,0.30856142754579635,0.08602988314142965
unemployment_rate_lag1,0.22541285370008168,0.09292711191957059
log_fuel_imports,0.20846800444252622,0.18493716071275826
inflation_rate,0.11437096067178257,0.027797366725160488
inflation_rate_lag1,0.10602460571028356,0.03564947701621212
gdp_growth,0.10307752161514365,0.040545179832798844
gdp_growth_lag1,0.09188844164280408,0.05830093109732772
unemployment_rate_change,0.09146972032991343,0.03652916375484365
poverty_rate_change,0.04323984572402377,0.017140981350476203
gdp_growth_change,0.041094366272056426,0.024401089774749363
inflation_rate_change,0.035352166591941445,0.016759054178529322
sanction_type_none,0.01413498934324089,0.00992543134841229
poverty_rate_lag1,0.007145857384235299,0.03158045978352962
total_trade_exposure,0.004888391108069179,0.0214112002664423
sanction_active,0.003797087399863841,0.0032706384615917828
sanction_intensity_index,0.0020429136100934995,0.0012039636874425464
sanction_x_regime,0.0012494098586856238,0.00039769900836873626
sanction_duration,0.00038218419829103565,0.00041180855973766247
sanction_status_sanctioned,0.00026042753119863703,0.00036459036815059684
sanction_type_trade,5.576583570867655e-05,8.395476305333128e-05
year,-3.552713678800501e-16,7.105427357601003e-16
sanction_x_conflict,-1.0658141036401502e-15,8.702335715267317e-16
sanction_type_targeted,-0.0008303789668763883,0.0005609979975831734
sanction_intensity_index_lag1,-0.007993058563562094,0.0036089538391291046
conflict_incidence,-0.024306016083728822,0.027389349784033606
log_total_trade_exposure,-0.02443276884370569,0.014337803554890586
conflict_intensity,-0.02896254110431329,0.024681806781724
