country_code,country,year,sanction_active,sanction_intensity_index,wellbeing_index,wellbeing_index_100,child_mortality_u5_z,school_enrollment_z,SE.PRM.NENR.FE_z,unemployment_rate_z,inflation_rate_z
ABW,ABW,1995,0.0,0.0,0.5870231284567072,97.83119424739152,,0.7959806160352132,0.8768970171862384,,0.08819175214867027
ABW,ABW,1996,0.0,0.0,0.587727003635394,97.83557839529105,,0.7959806160352132,0.8768970171862384,,0.09030337768473061
ABW,ABW,1997,0.0,0.0,0.5888923785833661,97.84283703472745,,0.7959806160352132,0.8768970171862384,,0.09379950252864677
ABW,ABW,1998,0.0,0.0,0.594738699642098,97.87925135500141,,0.7959806160352132,0.8768970171862384,,0.11133846570484264
ABW,ABW,1999,0.0,0.0,0.5926137615840753,97.86601599309948,,0.7959806160352132,0.8768970171862384,,0.10496365153077464
ABW,ABW,2000,0.0,0.0,0.5751482152624682,97.75723031555535,,0.8151284482077117,0.8327153829805265,,0.0776008145991662
ABW,ABW,2001,0.0,0.0,0.4569033516875793,97.020731876672,,0.5514491657099043,0.7236563248839746,,0.09560456446885904
ABW,ABW,2002,0.0,0.0,0.437617268878055,96.90060682893669,,0.6093468638524276,0.6145972667874225,,0.08890767599431487
ABW,ABW,2003,0.0,0.0,0.3594233038510662,96.41356890245626,,0.5062081563851851,0.4884464942162399,,0.08361526095177345
ABW,ABW,2004,0.0,0.0,0.3883100960190848,96.59349280521943,,0.5585558228870572,0.5052702603174191,,0.101104204852778
ABW,ABW,2005,0.0,0.0,0.543013637159457,97.55707729502222,,0.794218075850377,0.7471957590792487,,0.08762707654874541
ABW,ABW,2006,0.0,0.0,0.5690366480831702,97.71916388670084,,0.8561664199090409,0.7665782625593092,,0.08436526178116074
ABW,ABW,2007,0.0,0.0,0.5717952194394345,97.73634588882773,,0.8727466376579118,0.7859607660393696,,0.05667825462102184
ABW,ABW,2008,0.0,0.0,0.5647058774174496,97.69218930414365,,0.8873821885474278,0.80534326951943,,0.0013921741854910894
ABW,ABW,2009,0.0,0.0,0.5500566083416115,97.60094505488877,,0.6519697093091628,0.8247257729994905,,0.1734743427161814
ABW,ABW,2010,0.0,0.0,0.6033027580619222,97.93259333930428,,0.8770812525114652,0.8247257729994905,,0.10810124867481098
ABW,ABW,2011,0.0,0.0,0.5936789442436069,97.87265057613466,,0.8829345808182545,0.8247257729994905,,0.07337647891307567
ABW,ABW,2012,0.0,0.0,0.6147073020124563,98.00362753530912,,0.8887879091250428,0.8247257729994905,,0.1306082239128356
ABW,ABW,2013,0.0,0.0,0.6321709147706813,98.11240116948521,,0.894641237431831,0.8247257729994905,,0.17714573388072263
ABW,ABW,2014,0.0,0.0,0.6196750378182087,98.03456951075826,,0.9004945657386204,0.8247257729994905,,0.13380477471651503
ABW,ABW,2015,0.0,0.0,0.6193992725378054,98.03285188267384,,0.9004945657386204,0.8247257729994905,,0.1329774788753054
ABW,ABW,2016,0.0,0.0,0.6266703783828399,98.07814059917214,,0.9004945657386204,0.8247257729994905,,0.15479079641040863
ABW,ABW,2017,0.0,0.0,0.6271724704341347,98.08126792327549,,0.9004945657386204,0.8247257729994905,,0.1562970725642934
ABW,ABW,2018,0.0,0.0,0.603102022743089,97.93134304187502,,0.9004945657386204,0.8247257729994905,,0.08408572949115607
ABW,ABW,2019,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
ABW,ABW,2020,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
ABW,ABW,2021,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
ABW,ABW,2022,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
ABW,ABW,2023,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
ABW,ABW,2024,0.0,0.0,0.5998365474882791,97.9110037446348,,0.9004945657386204,0.8247257729994905,,0.07428930372672646
AFE,AFE,1995,0.0,0.0,-0.8406771005733839,88.93863893391612,-2.4793531498136443,,,0.007634683512354333,-0.05031283541886173
AFE,AFE,1996,0.0,0.0,-0.8012300990948685,89.1843380207873,-2.4177819542630026,,,0.024344952887213746,-0.010253295908816651
AFE,AFE,1997,0.0,0.0,-0.7792228020675639,89.32141238845644,-2.350527881557954,,,0.031537552720135274,-0.01867807736487299
AFE,AFE,1998,0.0,0.0,-0.7636863992423603,89.41818222759095,-2.3392755885296097,,,0.024161116479652994,0.024055274322876023
AFE,AFE,1999,0.0,0.0,-0.7073789723310195,89.76889794380872,-2.1567524236190545,,,0.015596512844763214,0.019018993781232778
AFE,AFE,2000,0.0,0.0,-0.6717581304467181,89.99076546216298,-2.0488395013652867,,,0.02667287547634855,0.006892234548784271
AFE,AFE,2001,0.0,0.0,-0.6115849199436588,90.36555954841971,-1.93196390751019,,,0.04747824868071255,0.04973089899850071
AFE,AFE,2002,0.0,0.0,-0.5810605338508233,90.5556833476747,-1.8027114875308738,,,0.05515525454360281,0.004374631434801023
AFE,AFE,2003,0.0,0.0,-0.5314743497961342,90.86453521694283,-1.6814849074009874,,,0.06229979818598098,0.02476205982660384
AFE,AFE,2004,0.0,0.0,-0.473388672912708,91.22632691810229,-1.5799176831733608,,,0.09734612982923266,0.062405534606004204
AFE,AFE,2005,0.0,0.0,-0.4417093723853401,91.42364420257397,-1.4622959330289815,,,0.129601503656169,0.0075663122167921645
AFE,AFE,2006,0.0,0.0,-0.39536847917782564,91.71228249494409,-1.3297338490064634,,,0.14133911554997908,0.002289295923007391
AFE,AFE,2007,0.0,0.0,-0.35278444067670883,91.97752089033162,-1.218885506238472,,,0.15130169428871562,0.009230489919630023
AFE,AFE,2008,0.0,0.0,-0.3357339799700661,92.08372117094451,-1.107739059338807,,,0.15516392457991693,-0.05462680515130816
AFE,AFE,2009,0.0,0.0,-0.28784813855757474,92.38198230786551,-1.0074378595495426,,,0.1424738234072291,0.0014196204695891724
AFE,AFE,2010,0.0,0.0,-0.2650971877578318,92.52368858787243,-0.9360257813805924,,,0.08630515915439378,0.05442905895270323
AFE,AFE,2011,0.0,0.0,-0.2910302239765193,92.36216241148614,-0.9670964294112595,,,0.09284971006424855,0.0011560474174530698
AFE,AFE,2012,0.0,0.0,-0.2184458274836919,92.81426065142703,-0.7816785454172617,,,0.12809409002256178,-0.0017530270563758366
AFE,AFE,2013,0.0,0.0,-0.15689128049535758,93.19765851237823,-0.6895822940680609,,,0.16775758917237757,0.05115086340961058
AFE,AFE,2014,0.0,0.0,-0.1458932183129615,93.26616090126167,-0.6649909795325957,,,0.1727004514935837,0.054610873100127445
AFE,AFE,2015,0.0,0.0,-0.13493798611681967,93.33439651984271,-0.6263465399237348,,,0.1602928511507155,0.06123973042256028
AFE,AFE,2016,0.0,0.0,-0.13483533193121133,93.33503591038502,-0.5791341024772271,,,0.13430735301282398,0.040320753670769094
AFE,AFE,2017,0.0,0.0,-0.1316700867192002,93.3547509160677,-0.5476950489501987,,,0.10886539595132215,0.04381939284127603
AFE,AFE,2018,0.0,0.0,-0.08986294935002208,93.615150315041,-0.44061586302085765,,,0.10344549027175383,0.0675815246990376
AFE,AFE,2019,0.0,0.0,-0.08002169311082823,93.67644743728114,-0.3813956696070252,,,0.06464250839428519,0.0766880818802553
AFE,AFE,2020,0.0,0.0,-0.10398280576401932,93.5272035586935,-0.34308520501127465,,,-0.02865900576458508,0.05979579348380175
AFE,AFE,2021,0.0,0.0,-0.1256229688888689,93.39241591653483,-0.30423244305834257,,,-0.1070949156225659,0.03445845201430184
AFE,AFE,2022,0.0,0.0,-0.11051582231150804,93.48651209571611,-0.2933607239411933,,,-0.009674101106947785,-0.02851264188638306
AFE,AFE,2023,0.0,0.0,-0.06009358362906283,93.80057140410293,-0.2310905636140054,,,0.02526402473785754,0.025545787988959383
AFE,AFE,2024,0.0,0.0,-0.03871781643381194,93.93371223316962,-0.2310905636140054,,,0.04425233218973971,0.07068478212282989
AFG,AFG,1995,0.0,0.0,-0.8228525597891205,89.04966063976052,-2.4026670685668123,,,-0.009407850697509412,-0.0564827601030401
AFG,AFG,1996,0.0,0.0,-0.7905514720071155,89.25085078034209,-2.303952812010357,,,-0.011218843907949796,-0.0564827601030401
AFG,AFG,1997,0.0,0.0,-0.7589348733621092,89.44777752067445,-2.211819505890998,,,-0.008502354092289218,-0.0564827601030401
AFG,AFG,1998,0.0,0.0,-0.7285859699644112,89.63680831066789,-2.11968619977164,,,-0.009588950018553354,-0.0564827601030401
AFG,AFG,1999,0.0,0.0,-0.6990890161626421,89.82053265834797,-2.0297465437979803,,,-0.011037744586905693,-0.0564827601030401
AFG,AFG,2000,0.0,0.0,-0.6703164596450489,89.9997450344058,-1.9398068878243202,,,-0.014659731007786624,-0.0564827601030401
AFG,AFG,2001,0.0,0.0,-0.643461990356479,90.16701043697904,-1.8454799315592632,,,-0.028423279407133777,-0.0564827601030401
AFG,AFG,2002,0.0,0.0,-0.6056208289245703,90.40270740915646,-1.7511529752942052,,,-0.009226751376465309,-0.0564827601030401
AFG,AFG,2003,0.0,0.0,-0.5720588653263139,90.61175102465626,-1.654632368883449,,,-0.005061466992452391,-0.0564827601030401
AFG,AFG,2004,0.0,0.0,-0.5361357911234279,90.83550102334911,-1.5559181123269934,,,0.003993499059749857,-0.0564827601030401
AFG,AFG,2005,0.0,0.0,-0.5083018199271758,91.00886733892678,-1.4572038557705378,,,-0.011218843907949796,-0.0564827601030401
AFG,AFG,2006,0.0,0.0,-0.4452915356136433,91.40133238668862,-1.356295949068383,,,-0.014659731007786624,0.03508107323523975
AFG,AFG,2007,0.0,0.0,-0.4195427608701828,91.5617108744164,-1.2597753426576266,,,-0.004518169029320243,0.0056652290763984795
AFG,AFG,2008,0.0,0.0,-0.48139804479767284,91.17643984722773,-1.16325473624687,,,-0.011399943228993738,-0.2695394549171548
AFG,AFG,2009,0.0,0.0,-0.27527970830044385,92.46026587117419,-1.0733150802732103,,,0.001458108565133221,0.24601784680674557
