Variable,Coefficient,Std_Error,P_value,CI_low,CI_high,Significant
const,86.93436811050583,8.944767659163656,2.50179741246584e-22,69.40294564846641,104.46579057254525,True
sanction_active_w,0.46020152026932193,1.6055607125120523,0.7743958065339825,-2.6866396512467685,3.6070426917854124,False
sanction_intensity_index_w,0.4100323936284631,2.1879907861821812,0.8513459762075197,-3.87835074579409,4.6984155330510164,False
gdp_growth_w,0.05468686194044619,0.060816451126090146,0.3685399310868519,-0.06451119193423091,0.17388491581512328,False
inflation_rate_w,0.021829906367216354,0.004644186190613546,2.5955011249749093e-06,0.012727468696115534,0.030932344038317176,True
conflict_incidence_w,-4.113318068523714,3.105478652546659,0.18532511698906184,-10.199944382273141,1.9733082452257138,False
conflict_intensity_w,5.842663016223996,2.3863909736542914,0.014352174130207077,1.1654226548301123,10.51990337761788,True
unemployment_rate_w,-0.6695061120423019,0.07085256251464506,3.41150454042113e-21,-0.8083745827833789,-0.5306376413012249,True
log_total_trade_exposure_w,-0.1741178913492064,0.42170082025411715,0.6796840116088658,-1.000636311298275,0.6524005285998622,False
regime_score_w,-21.352304854137913,3.6286349084581278,3.9952349263727124e-09,-28.464298587760638,-14.240311120515187,True
